"symbol","股票简称","上市时间","流通股","总股本"
"600268","国电南自","19991118","1010742795.0","1015870778.0"
"600269","赣粤高速","20000518","2335407014.0","2335407014.0"
"600271","航天信息","20030711","1852884638.0","1852884638.0"
"600272","开开实业","20010228","160000000.0","262651945.0"
"600273","嘉化能源","20030627","1356879522.0","1356879522.0"
"600276","恒瑞医药","20001018","6379002274.0","6637199874.0"
"600278","东方创业","20000712","871915557.0","877143737.0"
"600279","重庆港","20000731","1186866283.0","1186866283.0"
"600280","中央商场","20000926","1128334788.0","1128334788.0"
"600281","华阳新材","20001109","514402025.0","514402025.0"
"600282","南钢股份","20000919","6165091011.0","6165091011.0"
"600283","钱江水利","20001018","544167189.0","560824898.0"
"600284","浦东建设","20040316","970256000.0","970256000.0"
"600285","羚锐制药","20001018","565865486.0","567115486.0"
"600287","江苏舜天","20000901","436796074.0","438847974.0"
"600288","大恒科技","20001129","436800000.0","436800000.0"
"600289","ST信通","20000720","565922684.0","631052069.0"
"600292","远达环保","20001101","780816890.0","780816890.0"
"600293","三峡新材","20000919","1160145046.0","1160145046.0"
"600295","鄂尔多斯","20010426","1975576254.0","2798776254.0"
"600298","安琪酵母","20000818","857150471.0","868138471.0"
"600299","安迪苏","20000420","2681901273.0","2681901273.0"
"600300","维维股份","20000630","1617142180.0","1617142180.0"
"600301","华锡有色","20000712","275335681.0","632567479.0"
"600302","标准股份","20001213","346009804.0","346009804.0"
"600303","曙光股份","20001226","675604211.0","683604211.0"
"600305","恒顺醋业","20010206","1102988228.0","1106471528.0"
"600307","酒钢宏兴","20001220","6263357424.0","6263357424.0"
"600308","华泰股份","20000928","1516870176.0","1516870176.0"
"600309","万华化学","20010105","3130471626.0","3130471626.0"
"600310","广西能源","20010228","1465710722.0","1465710722.0"
"600312","平高电气","20010221","1356921309.0","1356921309.0"
"600313","农发种业","20010119","1082198663.0","1082198663.0"
"600315","上海家化","20010315","672225980.0","672225980.0"
"600316","洪都航空","20001215","717114512.0","717114512.0"
"600318","XD新力金","20001208","512727632.0","512727632.0"
"600319","亚星化学","20010326","315594000.0","387709384.0"
"600320","振华重工","20001221","3321997661.0","5268353501.0"
"600322","津投城开","20010910","1105700000.0","1105700000.0"
"600323","瀚蓝环境","20001225","815347146.0","815347146.0"
"600325","华发股份","20040225","2752152116.0","2752152116.0"
"600326","西藏天路","20010116","1327863703.0","1328714600.0"
"600327","大东方","20020625","884779518.0","884779518.0"
"600328","中盐化工","20001222","1465388977.0","1466309533.0"
"600329","达仁堂","20010606","567089356.0","770094356.0"
"600330","天通股份","20010118","1233434416.0","1233434416.0"
"600331","宏达股份","20011220","2032000000.0","2641600000.0"
"600332","白云山","20010206","1405890949.0","1625790949.0"
"600333","长春燃气","20001211","609030684.0","609030684.0"
"600335","国机汽车","20010305","1495788692.0","1495788692.0"
"600336","澳柯玛","20001229","798014769.0","798014769.0"
"600337","美克家居","20001127","1436998137.0","1436998137.0"
"600338","西藏珠峰","20001227","914210168.0","914210168.0"
"600339","中油工程","20001225","5583147471.0","5583147471.0"
"600340","华夏幸福","20031230","3893355062.0","3913720342.0"
"600343","航天动力","20030408","638206348.0","638206348.0"
"600345","长江通信","20001222","211559297.0","329612132.0"
"600346","恒力石化","20010820","7039099786.0","7039099786.0"
"600348","华阳股份","20030821","3607500000.0","3607500000.0"
"600350","山东高速","20020318","4834570825.0","4834570825.0"
"600351","亚宝药业","20020926","700000046.0","700000046.0"
"600352","浙江龙盛","20030801","3253331860.0","3253331860.0"
"600353","旭光电子","20021120","828811159.0","829976239.0"
"600354","敦煌种业","20040115","527802080.0","527802080.0"
"600355","*ST精伦","20020613","492089200.0","492089200.0"
"600356","恒丰纸业","20010419","298731378.0","298731378.0"
"600358","ST联合","20000922","504936660.0","504936660.0"
"600359","新农开发","19990429","381512820.0","381512820.0"
"600360","*ST华微","20010316","960295304.0","960295304.0"
"600361","创新新材","20011129","1469261844.0","4107435885.0"
"600362","江西铜业","20020111","2075247405.0","3462729405.0"
"600363","联创光电","20010329","453514450.0","453514450.0"
"600365","ST通葡","20010115","427280000.0","427280000.0"
"600366","宁波韵升","20001030","1063042036.0","1099041051.0"
"600367","红星发展","20010320","321973182.0","341130902.0"
"600368","五洲交通","20001221","1609653858.0","1609653858.0"
"600369","西南证券","20010109","6645109124.0","6645109124.0"
"600370","三房巷","20030306","3896631384.0","3896631384.0"
"600371","万向德农","20020916","292578000.0","292578000.0"
"600372","中航机载","20010706","4838896630.0","4838896630.0"
"600373","中文传媒","20020304","1347358719.0","1367505119.0"
"600375","汉马科技","20030401","1087685760.0","1603071367.0"
"600376","首开股份","20010312","2579565242.0","2579565242.0"
"600377","宁沪高速","20010116","3802183001.0","5037747500.0"
"600378","昊华科技","20010111","1072565363.0","1289999620.0"
"600379","宝光股份","20020116","330201564.0","330201564.0"
"600380","健康元","20010608","1829453386.0","1829453386.0"
"600381","*ST春天","20010508","587060741.0","587060741.0"
"600382","广东明珠","20010118","694408089.0","694408089.0"
"600383","金地集团","20010412","4514583572.0","4514583572.0"
"600386","北巴传媒","20010216","806400000.0","806400000.0"
"600388","龙净环保","20001229","1270046293.0","1270046293.0"
"600389","江山股份","20010110","430650000.0","430650000.0"
"600390","五矿资本","20010115","4498065459.0","4498065459.0"
"600391","航发科技","20011212","330129367.0","330129367.0"
"600392","盛和资源","20030529","1752826570.0","1752826570.0"
"600395","盘江股份","20010531","2146624894.0","2146624894.0"
"600396","华电辽能","20010328","1472706817.0","1472706817.0"
"600397","安源煤业","20020702","989959882.0","989959882.0"
"600398","海澜之家","20001228","4802770296.0","4802770296.0"
"600399","抚顺特钢","20001229","1972100000.0","1972100000.0"
"600400","红豆股份","20010108","2291371852.0","2291371852.0"
"600403","大有能源","20031009","2390812402.0","2390812402.0"
"600405","动力源","20040401","610119397.0","612829588.0"
"600406","国电南瑞","20031016","7996324758.0","8032088259.0"
"600408","安泰集团","20030212","1006800000.0","1006800000.0"
"600409","三友化工","20030618","2064349448.0","2064349448.0"
"600410","华胜天成","20040427","1096494683.0","1096494683.0"
"600415","小商品城","20020509","5482860526.0","5483645926.0"
"600416","湘电股份","20020718","1325406445.0","1325406445.0"
"600418","江淮汽车","20010824","2184009791.0","2184009791.0"
"600419","天润乳业","20010628","320204085.0","320204085.0"
"600420","国药现代","20040616","1341172692.0","1341172692.0"
"600421","*ST华嵘","20040607","195600000.0","195600000.0"
"600422","昆药集团","20001206","756975757.0","756975757.0"
"600423","柳化股份","20030717","798695026.0","798695026.0"
"600425","青松建化","20030724","1378790086.0","1604703707.0"
"600426","华鲁恒升","20020620","2119176553.0","2123219998.0"
"600428","中远海特","20020418","2146650771.0","2743920395.0"
"600429","三元股份","20030915","1497557426.0","1509176043.0"
"600433","冠豪高新","20030619","1750279233.0","1750279233.0"
"600435","北方导航","20030704","1510401918.0","1510401918.0"
"600436","片仔癀","20030616","603317210.0","603317210.0"
"600438","通威股份","20040302","4501986092.0","4501986092.0"
"600439","瑞贝卡","20030710","1131985440.0","1131985440.0"
"600444","国机通用","20040219","146421932.0","146421932.0"
"600446","金证股份","20031224","946275005.0","946275005.0"
"600448","华纺股份","20010903","629819662.0","629819662.0"
