序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
272,301235,华康洁净,31.63,0.96,0.3,54573.0,170257300.35,4.95,31.94,30.39,31.06,31.33,0.99,7.5,91.22,1.92,3408520632.0,2300466632.0,0.16,0.19,29.15,56.89
273,301520,万邦医药,46.98,0.95,0.44,12083.0,56069936.24,3.14,47.26,45.8,46.58,46.54,0.9,5.39,66.08,2.09,3132000016.0,1053432164.0,0.06,0.11,19.09,23.15
274,301388,欣灵电气,31.78,0.95,0.3,17722.0,55926266.0,2.03,31.88,31.24,31.49,31.48,1.21,6.48,218.44,3.38,3255784728.0,869392367.0,0.03,0.0,39.08,38.84
275,300737,科顺股份,5.45,0.93,0.05,129049.0,70550106.6,2.78,5.53,5.38,5.4,5.4,1.04,1.46,37.34,1.33,6049327557.0,4833693682.0,-0.37,-0.18,18.48,14.26
276,300750,宁德时代,265.45,0.91,2.4,104668.0,2764155754.31,1.47,265.88,262.01,264.0,263.05,1.02,0.25,19.85,4.1,1210268922055.0,1128727030922.0,-0.05,-0.05,2.03,2.0
277,300983,尤安设计,22.54,0.9,0.2,5117.0,11478852.48,1.92,22.65,22.22,22.36,22.34,0.57,0.43,-3377.64,1.37,3894912000.0,2666086761.0,0.0,-0.18,25.01,33.29
278,300618,寒锐钴业,37.35,0.89,0.33,93956.0,350038965.62,2.62,37.62,36.65,36.71,37.02,2.25,3.46,67.17,2.11,11515938414.0,10133830311.0,-0.08,-0.13,13.22,11.09
279,300674,宇信科技,25.94,0.89,0.23,154794.0,400158910.8,1.94,26.05,25.55,25.88,25.71,1.32,2.2,78.51,4.39,18263240136.0,18236125962.0,-0.04,0.0,14.98,34.61
280,301187,欧圣电气,31.05,0.88,0.27,31614.0,97894454.2,3.18,31.35,30.37,30.69,30.78,0.95,4.73,32.16,5.54,7915685951.0,2075254136.0,0.39,0.45,21.76,29.65
281,300171,东富龙,15.04,0.87,0.13,104762.0,156970448.69,4.16,15.27,14.65,14.88,14.91,1.17,1.86,143.03,1.48,11518053722.0,8462366619.0,0.07,0.0,25.75,13.94
282,300110,华仁药业,3.54,0.85,0.03,160455.0,56620111.7,2.85,3.58,3.48,3.5,3.51,0.98,1.36,65.28,3.18,4185033956.0,4181368729.0,-0.28,0.0,14.56,0.57
283,300690,双一科技,27.33,0.85,0.23,88509.0,240199276.91,2.69,27.5,26.77,27.02,27.1,1.3,8.08,37.32,3.08,4518985956.0,2992113899.0,0.22,0.29,16.3,22.01
284,300284,苏交科,9.65,0.84,0.08,176510.0,169482221.4,2.51,9.72,9.48,9.52,9.57,1.44,1.47,63.87,1.44,12186288019.0,11554450264.0,-0.1,0.0,7.22,-4.27
285,300682,朗新集团,19.34,0.83,0.16,209043.0,404536201.64,3.08,19.57,18.98,19.28,19.18,1.67,2.02,1549.43,3.11,20891983478.0,19998904169.0,0.0,0.05,38.44,61.84
