序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
373,301026,浩通科技,27.49,0.4,0.11,26554.0,72977256.4,2.59,27.79,27.08,27.33,27.38,1.96,2.38,43.95,2.94,4350951903.0,3067352508.0,-0.04,-0.22,30.59,42.14
374,300041,回天新材,10.05,0.4,0.04,84957.0,85170516.6,1.4,10.09,9.95,9.98,10.01,0.93,1.56,17.24,2.1,5622312625.0,5471564645.0,0.2,0.2,13.95,11.05
375,300463,迈克生物,12.67,0.4,0.05,100286.0,126932999.0,3.41,12.87,12.44,12.6,12.62,1.63,2.02,113.98,1.23,7759989705.0,6281255887.0,0.0,0.08,7.37,-3.28
376,301096,百诚医药,58.33,0.4,0.23,16559.0,96083564.14,2.67,58.88,57.33,57.76,58.1,0.42,1.52,-60.8,2.5,6371285806.0,6358388751.0,0.0,0.0,69.22,53.74
377,300716,ST泉为,7.76,0.39,0.03,12271.0,9500474.0,2.59,7.82,7.62,7.7,7.73,0.66,0.77,-18.61,109.51,1241755200.0,1241755200.0,0.39,-0.26,13.62,-37.22
378,301132,满坤科技,38.54,0.39,0.15,34640.0,132976940.67,3.05,38.89,37.72,38.31,38.39,0.79,7.53,50.62,3.29,5707244036.0,1773734745.0,-0.03,-0.18,44.45,42.32
379,300910,瑞丰新材,58.73,0.39,0.23,8803.0,50945128.0,2.41,58.81,57.4,58.4,58.5,0.84,0.42,22.29,5.29,17380278877.0,12194036488.0,0.84,1.68,2.87,26.55
380,300401,花园生物,15.76,0.38,0.06,87547.0,137376882.0,1.59,15.81,15.56,15.61,15.7,1.01,1.64,22.19,2.78,8565051992.0,8426616168.0,-0.06,-0.19,-0.51,8.32
381,300285,国瓷材料,18.99,0.37,0.07,118859.0,223343585.32,2.43,19.05,18.59,18.81,18.92,1.26,1.48,34.87,2.82,18933947198.0,15267007595.0,-0.21,0.05,12.57,12.43
382,300092,科新机电,13.54,0.37,0.05,39480.0,53436567.0,1.19,13.6,13.44,13.51,13.49,1.01,1.88,19.2,2.29,3708921089.0,2841589106.0,-0.07,-0.15,11.9,19.82
383,301028,东亚机械,13.41,0.37,0.05,26716.0,35522350.0,1.42,13.41,13.22,13.35,13.36,0.76,1.08,22.94,3.41,5150106316.0,3331841064.0,0.15,0.07,10.37,25.44
384,301115,联检科技,16.38,0.37,0.06,10876.0,17727291.47,1.41,16.41,16.18,16.36,16.32,0.8,1.03,169.94,1.21,3032909989.0,1732216351.0,0.0,0.0,17.84,20.0
385,300228,富瑞特装,8.05,0.37,0.03,123930.0,99809878.6,1.37,8.09,7.98,8.0,8.02,1.45,2.25,23.47,2.13,4716185469.0,4427429957.0,0.0,-0.12,4.82,15.49
386,300037,新宙邦,35.21,0.37,0.13,57030.0,198878414.0,2.37,35.35,34.52,35.16,35.08,1.24,1.06,28.63,2.8,26329302639.0,19022414006.0,0.14,0.11,13.76,-4.94
387,301090,华润材料,8.11,0.37,0.03,22373.0,18088760.0,1.11,8.13,8.04,8.1,8.08,1.01,0.15,-155.14,1.87,12054370298.0,11998007420.0,0.12,0.12,10.04,16.86
388,300837,浙矿股份,25.02,0.36,0.09,12620.0,31487615.0,3.85,25.35,24.39,25.15,24.93,2.22,1.79,38.57,1.82,2502038731.0,1765981606.0,0.08,0.12,18.02,25.98
389,300913,兆龙互连,50.7,0.36,0.18,50162.0,253541818.81,2.1,50.96,49.9,50.1,50.52,0.56,1.96,121.61,12.95,15854430614.0,12971691482.0,0.08,0.16,21.67,6.02
390,301181,标榜股份,27.55,0.36,0.1,7902.0,21662010.1,1.38,27.59,27.21,27.45,27.45,0.58,2.1,25.45,2.28,3183153806.0,1034253806.0,0.0,0.04,15.42,34.46
391,300767,震安科技,16.94,0.36,0.06,180956.0,307971250.59,4.21,17.36,16.65,16.94,16.88,1.27,7.55,-163.69,2.87,4680370014.0,4060475548.0,0.06,-0.24,67.39,87.8
392,300278,华昌达,5.78,0.35,0.02,214235.0,123762904.39,1.56,5.82,5.73,5.74,5.76,0.83,1.51,552.46,4.56,8216307616.0,8190636740.0,0.0,0.35,6.45,-1.2
393,300450,先导智能,26.07,0.35,0.09,111089.0,290229382.4,1.77,26.37,25.91,25.96,25.98,0.89,0.71,27.95,3.43,40829870296.0,40654108416.0,-0.08,0.15,28.42,30.61
394,300601,康泰生物,17.34,0.35,0.06,92861.0,160313536.21,2.37,17.47,17.06,17.27,17.28,0.81,1.03,215.83,2.11,19367543016.0,15612859496.0,-0.06,0.06,24.21,1.64
395,301063,海锅股份,29.19,0.34,0.1,10787.0,31409215.0,1.86,29.42,28.88,29.21,29.09,0.97,1.07,37.06,1.98,3046289534.0,2932037071.0,0.03,0.03,18.61,85.57
396,300560,中富通,14.61,0.34,0.05,55306.0,79795234.0,2.75,14.67,14.27,14.55,14.56,1.07,2.96,109.39,3.5,3356554317.0,2731555509.0,0.21,0.62,18.2,-5.62
397,300861,美畅股份,14.85,0.34,0.05,24609.0,36427095.24,1.28,14.89,14.7,14.75,14.8,0.91,0.58,94.23,1.6,9976830534.0,6264693602.0,0.07,0.13,10.9,6.83
398,300697,电工合金,14.6,0.34,0.05,78407.0,114299332.94,2.2,14.7,14.38,14.49,14.55,1.31,2.37,36.68,5.59,6316544000.0,4836104000.0,0.0,0.0,28.07,52.72
399,300517,海波重科,12.71,0.32,0.04,31574.0,39898308.33,2.29,12.76,12.47,12.56,12.67,0.91,2.55,981.99,2.5,2547205050.0,1576317065.0,0.08,0.08,35.94,52.95
400,300963,中洲特材,19.56,0.31,0.06,72779.0,142912249.43,2.67,19.88,19.36,19.47,19.5,0.88,2.51,173.56,8.45,8970998400.0,5660912021.0,0.05,0.0,33.24,213.96
401,300141,和顺电气,9.66,0.31,0.03,22117.0,21263676.54,1.25,9.66,9.54,9.61,9.63,1.0,0.88,-46.38,3.82,2452525236.0,2440790181.0,0.1,0.1,13.11,-9.21
402,301393,昊帆生物,56.5,0.3,0.17,12926.0,72646843.6,2.27,56.89,55.61,55.9,56.33,0.66,3.07,43.84,2.68,6102000000.0,2378919788.0,-0.02,0.05,20.62,42.5
403,300206,理邦仪器,13.29,0.3,0.04,96735.0,129036808.74,4.15,13.61,13.06,13.25,13.25,2.17,2.86,29.59,3.94,7703725868.0,4497064419.0,-0.08,-0.08,14.97,21.15
404,300151,昌红科技,13.72,0.29,0.04,49303.0,67089147.0,1.75,13.75,13.51,13.67,13.68,1.26,1.34,102.98,4.77,7306019830.0,5058523128.0,0.22,0.22,5.05,-18.96
405,301288,*ST清研,14.03,0.29,0.04,8770.0,12305679.0,2.36,14.2,13.87,13.92,13.99,1.02,1.86,-317.37,1.88,1515380300.0,660713724.0,0.0,0.0,17.9,-8.48
406,300916,朗特智能,41.31,0.29,0.12,51342.0,208179944.92,4.88,41.8,39.79,40.87,41.19,0.82,5.56,49.36,4.56,5975243929.0,3814478277.0,-0.41,-0.6,46.8,39.56
407,301557,常友科技,77.1,0.29,0.22,9789.0,75439123.84,3.32,78.36,75.81,76.99,76.88,1.73,8.84,77.57,3.55,3416136854.0,854268000.0,-0.32,-0.14,3.23,177.54
408,301060,兰卫医学,10.77,0.28,0.03,61142.0,65956290.0,3.07,10.94,10.61,10.72,10.74,1.41,1.72,-133.45,2.75,4313568090.0,3827430505.0,0.0,-0.09,17.58,20.88
409,301050,雷电微力,54.41,0.28,0.15,75308.0,412060317.09,2.25,55.3,54.08,54.3,54.26,1.52,3.62,48.35,4.43,13319120097.0,11322280986.0,-0.02,0.09,6.67,5.9
410,301317,鑫磊股份,36.53,0.27,0.1,21645.0,79054358.89,2.11,36.95,36.18,36.57,36.43,0.47,4.83,3.65,4.11,5742150700.0,1636544000.0,0.08,-0.05,-3.89,86.38
411,300919,中伟股份,34.02,0.27,0.09,24368.0,82645670.8,0.91,34.06,33.75,33.88,33.93,0.9,0.27,25.94,1.6,31911728141.0,31045888047.0,0.03,0.03,5.16,-4.89
412,300259,新天科技,3.77,0.27,0.01,67840.0,25434775.0,1.06,3.77,3.73,3.76,3.76,1.04,0.58,40.52,1.52,4410151715.0,4409140281.0,0.27,0.0,10.56,9.28
413,300008,天海防务,7.3,0.27,0.02,900046.0,660739750.15,2.88,7.44,7.23,7.24,7.28,1.08,5.46,77.31,5.89,12614612671.0,12025217518.0,0.0,0.0,22.07,55.98
414,300286,安科瑞,22.62,0.27,0.06,14124.0,31781454.25,1.11,22.62,22.37,22.61,22.56,1.16,0.8,27.18,2.65,5672748896.0,3975711535.0,0.09,0.09,3.86,11.7
415,300147,ST香雪,7.81,0.26,0.02,51713.0,40279547.0,1.67,7.85,7.72,7.8,7.79,1.14,0.79,-14.72,5.34,5164589341.0,5134755118.0,0.26,0.13,4.41,-20.06
416,300471,厚普股份,11.54,0.26,0.03,53133.0,61244075.45,1.04,11.58,11.46,11.48,11.51,0.86,1.45,184.13,4.05,4664073978.0,4230009918.0,0.17,0.17,19.96,21.99
417,300146,汤臣倍健,11.89,0.25,0.03,62391.0,73992687.61,1.01,11.92,11.8,11.88,11.86,1.08,0.55,11.12,1.85,20223052175.0,13435546132.0,0.0,0.0,3.39,1.71
418,300933,中辰股份,8.14,0.25,0.02,59839.0,48708870.0,1.6,8.2,8.07,8.12,8.12,1.04,1.27,64.13,2.4,3823030406.0,3823030406.0,0.0,0.0,15.63,-2.28
419,300094,国联水产,4.03,0.25,0.01,259487.0,104117241.98,1.49,4.04,3.98,4.0,4.02,1.13,2.35,188.55,2.47,4546514030.0,4455235118.0,0.0,0.0,12.26,6.33
420,300360,炬华科技,15.95,0.25,0.04,31805.0,50588756.0,0.82,15.95,15.82,15.92,15.91,0.88,0.64,11.73,2.09,8201284660.0,7978108448.0,0.06,0.06,2.7,-2.57
421,300049,福瑞股份,49.1,0.24,0.12,49308.0,239428464.8,2.8,49.17,47.8,48.78,48.98,1.07,2.11,113.58,7.3,13010316690.0,11464915892.0,0.18,0.06,56.62,55.68
422,300636,同和药业,8.42,0.24,0.02,74004.0,62010292.34,2.38,8.47,8.27,8.46,8.4,1.04,2.01,42.54,1.53,3535991588.0,3093151699.0,0.24,0.24,15.82,6.18
423,300376,ST易事特,4.2,0.24,0.01,120465.0,50658018.0,2.15,4.26,4.17,4.17,4.19,1.4,0.52,55.29,1.43,9778609999.0,9775226584.0,0.0,0.24,21.74,17.98
424,300823,建科智能,16.54,0.24,0.04,21844.0,36012673.0,1.76,16.63,16.34,16.5,16.5,1.16,2.58,-166.15,2.36,2166454305.0,1402417106.0,0.0,0.06,20.73,30.44
425,300491,通合科技,20.55,0.24,0.05,59280.0,121959347.6,3.61,20.96,20.22,20.36,20.5,1.02,3.82,-137.66,3.18,3590867934.0,3186333088.0,-0.05,0.05,12.48,29.65
426,300533,冰川网络,37.52,0.24,0.09,124958.0,467662316.24,4.52,38.37,36.68,37.29,37.43,1.12,7.57,11.65,6.04,8797013114.0,6190033316.0,-0.35,-0.21,62.35,89.88
427,300586,美联新材,13.29,0.23,0.03,156530.0,207588207.78,3.17,13.52,13.1,13.26,13.26,0.51,2.93,251.35,4.92,9452069212.0,7104787060.0,0.0,0.23,41.08,63.27
428,300004,南风股份,8.67,0.23,0.02,58355.0,50364841.0,1.04,8.68,8.59,8.64,8.65,0.78,1.22,64.07,2.36,4161544495.0,4161544495.0,0.12,0.12,6.91,40.98
429,300505,川金诺,21.46,0.23,0.05,75649.0,162339981.6,1.54,21.63,21.3,21.36,21.41,0.56,3.48,20.48,2.33,5898657044.0,4664571824.0,-0.09,-0.09,20.22,52.2
430,300070,碧水源,4.6,0.22,0.01,113303.0,52081176.13,0.87,4.61,4.57,4.58,4.59,0.8,0.33,69.42,0.61,16671363070.0,15799072582.0,0.0,0.0,2.91,-9.09
431,301200,大族数控,88.02,0.22,0.19,68850.0,610626044.94,6.77,91.35,85.4,87.8,87.83,1.18,11.05,80.18,7.2,37453315559.0,5482424987.0,-0.54,-0.88,129.58,146.0
432,301097,天益医疗,46.4,0.22,0.1,5000.0,23215458.46,3.43,47.29,45.7,46.5,46.3,0.96,2.73,140.23,2.35,2735157875.0,851317875.0,0.0,-0.04,26.43,28.5
433,301207,华兰疫苗,18.48,0.22,0.04,27905.0,51413014.23,2.33,18.64,18.21,18.42,18.44,0.96,1.97,84.72,1.87,11106988200.0,2617664058.0,0.05,0.11,14.57,6.76
434,300154,瑞凌股份,9.59,0.21,0.02,23679.0,22626707.0,1.15,9.6,9.49,9.55,9.57,0.96,0.75,24.38,2.5,4311234378.0,3023769685.0,0.0,0.0,-2.04,-10.87
435,300227,光韵达,9.49,0.21,0.02,123599.0,117270992.6,2.11,9.59,9.39,9.47,9.47,1.03,2.85,8183.53,2.97,5163617101.0,4109812748.0,-0.11,0.0,9.46,13.93
436,300306,远方信息,13.99,0.21,0.03,35102.0,48881163.0,1.5,14.05,13.84,13.96,13.96,0.9,2.23,83.39,2.58,3762733304.0,2204333497.0,0.0,0.0,18.86,24.02
437,300193,佳士科技,9.63,0.21,0.02,51255.0,49318054.0,1.04,9.67,9.57,9.64,9.61,0.98,1.22,24.2,2.09,4586285622.0,4041284121.0,-0.1,-0.1,4.79,10.69
438,301234,五洲医疗,42.48,0.21,0.09,13707.0,57873031.6,3.85,43.24,41.61,42.21,42.39,0.7,2.02,128.17,3.86,2888640000.0,2888640000.0,0.45,0.47,51.61,70.95
439,301580,爱迪特,48.78,0.21,0.1,14074.0,68009986.88,2.3,48.92,47.8,48.7,48.68,0.78,1.95,41.56,2.64,5198218115.0,3512988870.0,0.23,0.35,28.71,18.86
440,300594,朗进科技,19.63,0.2,0.04,14258.0,27981373.0,2.04,19.85,19.45,19.69,19.59,0.79,1.57,-33.8,2.18,1803475824.0,1786293194.0,0.15,0.15,16.22,14.53
441,300230,永利股份,5.11,0.2,0.01,81374.0,41387632.0,1.18,5.12,5.06,5.09,5.1,0.95,1.29,30.89,1.33,4155520684.0,3218392970.0,0.0,0.0,11.09,16.4
442,300597,吉大通信,10.24,0.2,0.02,43544.0,44246837.0,1.37,10.24,10.1,10.17,10.22,0.61,1.6,-211.32,2.73,2791117107.0,2778851717.0,0.2,0.29,12.78,17.03
443,300967,晓鸣股份,20.6,0.19,0.04,65521.0,135628159.8,2.14,20.93,20.49,20.58,20.56,1.48,5.25,9.75,5.25,3863928837.0,2570697525.0,-0.05,-0.05,7.46,78.35
444,300029,*ST天龙,5.28,0.19,0.01,8919.0,4713925.0,1.33,5.32,5.25,5.29,5.27,0.87,0.45,-42.21,-114.74,1058674320.0,1057902120.0,-0.19,0.0,6.24,5.81
445,300926,博俊科技,26.62,0.19,0.05,20118.0,53231518.78,1.35,26.66,26.3,26.5,26.57,0.87,0.71,19.35,4.14,11561310185.0,7541224814.0,-0.11,0.04,3.82,21.77
446,300459,汤姆猫,5.68,0.18,0.01,1373539.0,778901319.49,2.47,5.75,5.61,5.72,5.67,1.58,4.19,1693.46,9.44,19969806134.0,18635319153.0,0.18,-0.18,11.81,-1.05
447,301113,雅艺科技,22.65,0.18,0.04,7151.0,16099052.6,1.99,22.71,22.26,22.61,22.61,1.24,1.3,208.2,3.0,2061150000.0,1248410582.0,0.09,0.09,12.57,29.8
448,300882,万胜智能,16.79,0.18,0.03,24519.0,41030055.68,1.43,16.85,16.61,16.71,16.76,1.05,0.92,32.73,4.06,4805317947.0,4471630800.0,0.0,0.0,9.52,4.74
449,300014,亿纬锂能,44.14,0.18,0.08,105224.0,463157093.43,1.0,44.25,43.81,43.98,44.06,0.83,0.57,20.5,2.42,90298146878.0,82163725274.0,-0.02,0.02,-2.71,-4.54
450,300205,*ST天喻,5.66,0.18,0.01,36177.0,20468671.96,2.3,5.73,5.6,5.6,5.65,0.61,0.84,-15.14,2.28,2434116960.0,2434116960.0,0.0,0.0,50.53,29.82
451,301508,中机认检,35.45,0.17,0.06,20619.0,72876554.6,1.3,35.61,35.15,35.21,35.39,1.26,3.5,65.39,4.17,8014720340.0,2085750380.0,0.03,0.0,12.93,4.91
452,301052,果麦文化,63.51,0.17,0.11,27328.0,173161405.57,4.61,64.6,61.68,64.5,63.4,0.67,3.41,554.89,8.79,6284907620.0,5093242816.0,0.17,0.05,86.96,150.14
453,301138,华研精机,38.14,0.16,0.06,16407.0,62009536.8,2.55,38.36,37.39,38.08,38.08,0.94,2.39,81.26,4.1,4576800000.0,2614883740.0,-0.05,0.95,23.99,43.44
454,300681,英搏尔,30.85,0.16,0.05,51289.0,157896049.34,2.4,31.1,30.36,30.62,30.8,0.78,2.79,189.7,3.75,8111804445.0,5673291554.0,0.1,0.0,-4.25,24.19
455,301082,久盛电气,19.06,0.16,0.03,24812.0,47164987.7,1.21,19.12,18.89,19.04,19.03,0.66,1.19,-162.91,4.33,4313452856.0,3987952600.0,-0.05,0.11,10.49,44.07
456,300393,中来股份,6.1,0.16,0.01,62077.0,37817864.3,1.31,6.13,6.05,6.08,6.09,0.84,0.65,-12.45,2.06,6646726884.0,5819817771.0,0.0,0.16,11.31,-2.4
457,301325,曼恩斯特,61.39,0.16,0.1,21375.0,131732655.6,2.38,62.47,61.01,61.8,61.29,1.25,3.69,394.36,3.07,8833570397.0,3554155633.0,0.05,0.28,9.74,13.29
458,300149,睿智医药,12.52,0.16,0.02,223142.0,278518129.19,2.64,12.63,12.3,12.51,12.5,0.71,4.49,234.66,5.11,6234509180.0,6223496826.0,-0.08,0.16,101.61,95.02
459,300153,科泰电源,31.28,0.16,0.05,89138.0,279913504.0,3.81,31.99,30.8,31.11,31.23,0.92,2.8,180.59,11.31,10009600000.0,9957366091.0,0.06,0.1,4.16,97.6
460,300693,盛弘股份,32.76,0.15,0.05,39595.0,129658991.23,1.71,33.02,32.46,32.56,32.71,0.46,1.48,35.15,5.91,10247191161.0,8763103211.0,-0.03,-0.03,9.46,23.81
461,300123,亚光科技,6.79,0.15,0.01,309052.0,209546587.64,2.06,6.85,6.71,6.75,6.78,1.08,3.09,-63.9,4.5,6938253695.0,6792538224.0,0.15,0.15,9.16,17.07
462,300647,超频三,6.89,0.15,0.01,228107.0,158864108.48,4.94,7.19,6.85,7.07,6.88,2.85,5.0,139.32,5.41,3150941855.0,3146264365.0,0.0,0.15,21.3,12.03
463,300142,沃森生物,13.07,0.15,0.02,291972.0,378796192.06,2.76,13.18,12.82,13.09,13.05,0.77,1.87,1974.82,2.22,20903485431.0,20381491981.0,-0.23,-0.31,27.76,8.29
464,300469,信息发展,42.87,0.14,0.06,37017.0,158141810.0,2.38,43.12,42.1,42.18,42.81,0.6,1.49,-134.1,24.2,10641998385.0,10641729590.0,0.07,0.23,42.38,82.43
465,300444,双杰电气,7.34,0.14,0.01,98808.0,72676481.0,1.36,7.4,7.3,7.32,7.33,0.86,1.67,1547.04,3.59,5861908161.0,4347488555.0,0.0,0.0,13.62,5.92
466,300658,延江股份,7.12,0.14,0.01,62471.0,44289679.32,1.97,7.17,7.03,7.13,7.11,0.63,2.77,53.34,1.79,2369280428.0,1604869609.0,0.0,-0.14,16.34,38.25
467,300812,易天股份,23.78,0.13,0.03,30882.0,73205844.32,2.69,23.96,23.32,23.94,23.75,0.95,3.33,41.46,4.22,3331031750.0,2204597595.0,-0.04,-0.04,16.57,7.89
468,300787,海能实业,15.12,0.13,0.02,86112.0,128883915.86,2.85,15.16,14.73,15.01,15.1,1.3,4.51,60.39,3.28,4739104178.0,2887294879.0,-0.13,-0.07,32.05,37.21
469,301439,泓淋电力,16.5,0.12,0.02,18854.0,31075870.36,1.4,16.6,16.37,16.5,16.48,0.85,1.03,31.82,2.25,6420179849.0,3023574246.0,-0.06,-0.06,11.11,21.77
470,300421,力星股份,17.03,0.12,0.02,113582.0,193415504.18,3.17,17.33,16.79,17.0,17.01,1.15,4.93,73.08,4.05,5007339143.0,3922759546.0,0.12,-0.06,3.4,53.84
471,300169,天晟新材,8.21,0.12,0.01,106724.0,86983655.0,2.68,8.29,8.07,8.19,8.2,1.38,3.54,-33.43,81.95,2676331431.0,2477250770.0,-0.73,-0.24,11.4,7.88
472,301047,义翘神州,72.31,0.12,0.09,9518.0,68425849.46,1.76,72.5,71.23,72.09,72.22,1.05,0.8,97.14,1.55,8795552814.0,8646874705.0,-0.07,0.0,20.68,18.83
473,300863,卡倍亿,35.78,0.11,0.04,9452.0,33678828.6,0.98,35.85,35.5,35.68,35.74,0.7,0.52,31.73,4.4,6743450732.0,6471486881.0,0.03,-0.03,11.39,12.55
474,300512,中亚股份,9.28,0.11,0.01,24487.0,22580075.0,1.51,9.3,9.16,9.25,9.27,0.9,0.75,54.33,2.36,3782907320.0,3048847961.0,0.22,0.32,19.43,37.28
475,300844,山水比德,43.58,0.11,0.05,3486.0,15083646.8,1.56,43.58,42.9,43.25,43.53,0.8,0.4,-183.74,5.16,3943815680.0,3805623500.0,0.23,0.3,-11.82,94.47
476,300982,苏文电能,19.86,0.1,0.02,18066.0,35811233.8,0.96,19.92,19.73,19.8,19.84,0.83,0.93,27.95,1.39,4110327800.0,3850529210.0,0.05,0.05,21.99,6.66
477,300558,贝达药业,67.5,0.1,0.07,74767.0,499193498.72,4.3,68.26,65.36,67.01,67.43,0.93,1.78,70.94,5.12,28399534403.0,28307779088.0,-0.07,0.04,38.63,25.63
478,300483,首华燃气,11.73,0.09,0.01,153524.0,181753600.0,3.58,12.09,11.67,11.76,11.72,1.91,5.65,38.08,1.68,3187293641.0,3185886041.0,-0.17,-0.17,27.78,19.21
479,301073,君亭酒店,22.36,0.09,0.02,21646.0,48458771.0,1.48,22.54,22.21,22.34,22.34,1.25,1.21,380.52,4.59,4347925389.0,3984093620.0,-0.09,-0.04,4.24,7.92
480,301081,严牌股份,10.9,0.09,0.01,16571.0,18029056.4,1.47,10.97,10.81,10.86,10.89,0.95,0.77,50.17,2.19,2453878316.0,2353293443.0,0.18,0.28,12.84,33.25
481,300177,中海达,11.26,0.09,0.01,159846.0,179892826.5,1.96,11.35,11.13,11.2,11.25,1.07,2.64,-84.84,5.48,8379343683.0,6826974606.0,0.18,0.0,12.49,3.21
482,300706,阿石创,47.7,0.08,0.04,359024.0,1737362803.97,11.77,51.51,45.9,47.02,47.66,2.16,31.61,-492.44,10.08,7308617802.0,5417515527.0,-0.21,0.08,132.68,98.34
483,300138,晨光生物,13.2,0.08,0.01,24657.0,32522312.17,0.83,13.25,13.14,13.19,13.19,0.48,0.62,14.56,2.02,6376921228.0,5257735454.0,-0.08,-0.08,19.89,53.67
484,301591,肯特股份,47.98,0.08,0.04,40880.0,199076976.06,4.67,49.8,47.56,47.56,47.94,1.19,12.04,46.72,4.64,4036077600.0,1628859826.0,-0.02,-0.04,22.77,26.36
485,301522,上大股份,36.34,0.08,0.03,17301.0,62950252.98,1.05,36.58,36.2,36.26,36.31,1.05,2.33,148.73,7.35,13513634679.0,2702726958.0,0.08,0.06,10.56,-0.11
486,300626,华瑞股份,11.8,0.08,0.01,21519.0,25307588.0,1.27,11.84,11.69,11.76,11.79,0.83,1.2,271.59,4.11,2124000000.0,2122837995.0,0.17,0.17,14.01,29.39
487,301205,联特科技,94.37,0.08,0.08,22068.0,207748945.8,2.41,94.97,92.7,93.29,94.29,0.57,3.25,163.66,8.11,12243941280.0,6413222884.0,0.02,0.11,34.85,25.01
488,300876,蒙泰高新,29.8,0.07,0.02,8277.0,24500777.46,2.22,29.96,29.3,29.9,29.78,1.28,1.21,-64.56,3.93,2860869255.0,2037942255.0,-0.17,-0.17,20.16,8.76
489,300589,江龙船艇,15.09,0.07,0.01,180610.0,274647817.47,3.45,15.49,14.97,14.98,15.08,1.21,7.8,-544.15,6.95,5699010060.0,3494949841.0,0.27,0.33,32.48,21.3
490,300901,中胤时尚,17.38,0.06,0.01,11033.0,19133459.0,1.32,17.49,17.26,17.45,17.37,0.5,0.46,-395.17,4.25,4171200000.0,4171200000.0,0.06,0.12,25.94,46.54
491,301019,宁波色母,17.68,0.06,0.01,12169.0,21415622.11,1.87,17.79,17.46,17.61,17.67,0.75,1.09,29.55,2.9,2970239912.0,1970716422.0,0.11,0.11,13.04,6.83
492,300838,浙江力诺,15.69,0.06,0.01,11230.0,17591811.78,1.79,15.84,15.56,15.84,15.68,1.14,1.1,85.48,2.21,2164874820.0,1596533989.0,0.13,0.06,9.34,25.42
493,300705,九典制药,17.73,0.06,0.01,103234.0,182398239.02,2.03,17.85,17.49,17.67,17.72,0.64,2.79,17.63,3.59,8868743016.0,6560336944.0,-0.06,-0.11,14.68,0.51
494,300566,激智科技,19.53,0.05,0.01,28922.0,56306321.22,1.23,19.58,19.34,19.51,19.52,0.92,1.27,21.89,2.57,5150872472.0,4457205599.0,0.0,0.05,7.07,0.05
495,300977,深圳瑞捷,19.76,0.05,0.01,7671.0,15111092.88,1.52,19.86,19.56,19.75,19.75,1.0,0.81,176.33,2.21,3008000126.0,1871898076.0,-0.15,-0.2,17.69,7.22
496,300445,康斯特,19.09,0.05,0.01,16033.0,30444244.0,1.42,19.13,18.86,19.08,19.08,1.1,1.13,45.7,3.38,4055288948.0,2712015944.0,0.16,0.16,10.47,17.99
497,300783,三只松鼠,25.72,0.04,0.01,48500.0,124822438.1,1.56,25.92,25.52,25.73,25.71,1.27,1.73,10.81,3.42,10330690056.0,7208179176.0,0.04,0.08,-3.67,-29.77
498,300530,领湃科技,34.4,0.03,0.01,25744.0,89093051.0,3.46,35.34,34.15,34.39,34.39,1.41,1.63,-55.53,43.03,5915126578.0,5444639842.0,0.06,0.12,24.68,103.19
499,300751,迈为股份,72.37,0.01,0.01,21812.0,158239007.16,1.69,73.28,72.06,72.38,72.36,0.82,1.14,31.19,2.7,20220540284.0,13900352175.0,-0.15,-0.18,-2.49,-30.78
500,300198,ST纳川,2.4,0.0,0.0,96084.0,23119873.0,1.25,2.42,2.39,2.4,2.4,1.46,0.94,-14.39,29.49,2475716496.0,2458719386.0,0.0,0.0,3.9,14.29
501,300281,金明精机,7.99,0.0,0.0,85276.0,68149243.0,2.13,8.08,7.91,8.0,7.99,0.9,2.15,368.71,2.66,3347199404.0,3174634037.0,0.25,0.38,4.86,43.45
502,300789,唐源电气,31.2,0.0,0.0,8299.0,25694216.13,2.72,31.55,30.7,31.17,31.2,0.71,0.84,151.97,4.39,4488090578.0,3087262183.0,0.26,0.65,26.62,110.95
503,300122,智飞生物,23.3,0.0,0.0,193226.0,448715906.05,2.19,23.5,22.99,23.29,23.3,0.8,1.37,-45.7,1.83,55775301105.0,32953335578.0,0.0,0.0,20.35,-11.41
504,301329,信音电子,21.34,0.0,0.0,12327.0,26342012.32,2.16,21.64,21.18,21.34,21.34,1.08,2.06,54.87,2.34,3632068000.0,1279204960.0,-0.09,0.0,13.75,2.65
505,300889,爱克股份,14.85,0.0,0.0,24412.0,35896624.35,2.02,14.87,14.57,14.71,14.85,0.6,1.66,-51.88,2.19,3238263468.0,2185990968.0,0.07,-0.13,23.44,50.46
506,301215,中汽股份,6.42,0.0,0.0,42154.0,27014705.24,1.09,6.45,6.38,6.4,6.42,0.82,0.32,73.33,3.02,8499438000.0,8489808000.0,-0.16,-0.16,10.12,8.81
507,301507,民生健康,15.48,0.0,0.0,38286.0,58979246.01,1.74,15.54,15.27,15.47,15.48,0.61,3.46,22.01,3.51,5519461028.0,1711033162.0,0.06,0.06,15.96,22.95
508,300317,珈伟新能,4.16,0.0,0.0,116490.0,48470973.54,1.68,4.2,4.13,4.16,4.16,1.39,1.41,343.68,2.15,3453583765.0,3448279765.0,0.24,0.24,9.76,13.35
509,300836,佰奥智能,41.15,0.0,0.0,9881.0,40493741.67,2.19,41.47,40.57,41.16,41.15,1.03,1.56,101.7,7.3,3814012852.0,2601084793.0,0.05,0.17,16.14,42.44
