"排名","板块名称","板块代码","最新价","涨跌额","涨跌幅","总市值","换手率","上涨家数","下跌家数","领涨股票","领涨股票-涨跌幅"
"65","船舶制造","BK0729","1166.99","-3.45","-0.29","488290624000","3.65","4","7","亚星锚链","1.29"
"66","仪器仪表","BK0458","19678.15","-63.47","-0.32","383707328000","4.56","26","47","埃科光电","9.8"
"67","消费电子","BK1037","1728.3","-5.99","-0.35","2439535072000","3.1","31","71","捷邦科技","9.61"
"68","电子元件","BK0459","30431.13","-149.73","-0.49","2476926000000","3.63","46","99","高华科技","7.08"
"69","通信设备","BK0448","17132.09","-84.93","-0.49","1991962608000","5.51","30","73","楚天龙","9.99"
"70","家用轻工","BK0440","49166.69","-245.56","-0.5","322489216000","2.41","11","30","创源股份","7.16"
"71","汽车服务","BK1016","1066.85","-5.48","-0.51","74944925000","1.25","3","9","友车科技","0.77"
"72","通信服务","BK0736","1199.27","-6.71","-0.56","3501289104000","1.0","14","24","*ST亿通","3.42"
"73","航天航空","BK0480","56011.33","-330.76","-0.59","1291031696000","2.49","14","31","爱乐达","6.06"
"74","电池","BK1033","1137.87","-6.83","-0.6","2164697744000","2.72","24","51","德新科技","3.26"
"75","保险","BK0474","1401.89","-10.21","-0.72","3144111696000","0.16","1","4","XD中国人","0.12"
"76","光学光电子","BK1038","1694.42","-12.79","-0.75","1111133872000","1.92","19","81","沃格光电","10.0"
"77","证券","BK0473","154182.61","-1303.67","-0.84","3614049776000","1.01","4","44","中银证券","1.84"
"78","文化传媒","BK0486","10705.23","-98.61","-0.91","1119503504000","2.82","23","72","吉视传媒","10.2"
"79","非金属材料","BK1020","1531.92","-15.32","-0.99","439819008000","2.38","6","28","壹石通","2.41"
"80","电子化学品","BK1039","1808.9","-18.52","-1.01","311603216000","3.45","5","22","中船特气","7.31"
"81","游戏","BK1046","1464.51","-16.01","-1.08","487396384000","4.41","4","21","巨人网络","4.27"
"82","电机","BK1030","2369.92","-29.55","-1.23","252687108000","3.48","8","18","华瑞股份","1.19"
"83","教育","BK0740","696.25","-9.35","-1.33","88604497000","4.0","2","12","学大教育","0.37"
"84","互联网服务","BK0447","29911.78","-631.45","-2.07","1863683424000","5.49","22","124","ST迪威迅","6.86"
"85","半导体","BK1036","1594.73","-35.2","-2.16","4860149504000","3.24","13","150","源杰科技","4.66"
"86","软件开发","BK0737","1269.96","-32.99","-2.53","2475508320000","4.42","18","175","德生科技","10.02"
