日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300717,18.72,19.12,19.21,18.65,32709,62118334.0,3.0,2.41,0.45,3.21
2025-08-04,300717,19.07,19.4,19.47,18.82,22005,42251096.0,3.4,1.46,0.28,2.16
2025-08-05,300717,19.39,20.44,21.21,19.39,88607,180822880.0,9.38,5.36,1.04,8.7
2025-08-06,300717,20.58,20.02,20.67,19.86,73696,148034343.0,3.96,-2.05,-0.42,7.24
2025-08-07,300717,20.04,21.68,22.84,19.73,142118,301202971.0,15.53,8.29,1.66,13.95
2025-08-08,300717,21.4,26.02,26.02,20.45,197485,466912416.28,25.69,20.02,4.34,19.39
