日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301024,45.74,45.01,45.74,44.8,15665,70565009.0,2.06,-1.19,-0.54,2.6
2025-08-04,301024,45.23,45.99,46.0,44.52,15430,70285900.0,3.29,2.18,0.98,2.56
2025-08-05,301024,45.97,46.52,46.79,45.7,15057,69793163.0,2.37,1.15,0.53,2.5
2025-08-06,301024,46.0,46.42,46.6,46.0,13155,60919745.0,1.29,-0.21,-0.1,2.18
2025-08-07,301024,46.42,45.4,46.48,45.0,18664,85006275.0,3.19,-2.2,-1.02,3.1
2025-08-08,301024,45.43,48.31,49.77,45.43,42810,205501478.96,9.56,6.41,2.91,7.11
