日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300855,24.61,25.0,25.47,24.21,87211,217255159.0,5.12,1.5,0.37,2.98
2025-08-04,300855,24.88,26.7,27.76,24.87,161071,425487877.0,11.56,6.8,1.7,5.5
2025-08-05,300855,26.69,26.98,27.38,26.6,134202,362121913.0,2.92,1.05,0.28,4.58
2025-08-06,300855,26.98,27.31,27.72,26.94,101130,276447862.0,2.89,1.22,0.33,3.45
2025-08-07,300855,27.15,26.95,27.48,26.71,65212,176158071.0,2.82,-1.32,-0.36,2.23
2025-08-08,300855,26.98,27.43,27.46,26.48,48609,131021952.99,3.64,1.78,0.48,1.66
