日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300415,20.69,20.91,21.06,20.66,54444,113877806.0,1.93,1.01,0.21,1.2
2025-08-04,300415,20.82,21.19,21.21,20.77,54874,115454975.0,2.1,1.34,0.28,1.21
2025-08-05,300415,21.2,21.24,21.27,21.14,47149,99966229.0,0.61,0.24,0.05,1.04
2025-08-06,300415,21.21,21.7,21.77,21.19,115808,250557649.0,2.73,2.17,0.46,2.56
2025-08-07,300415,21.7,21.46,21.77,21.41,63764,137247774.0,1.66,-1.11,-0.24,1.41
2025-08-08,300415,21.42,22.11,22.2,21.32,93725,204490486.36,4.1,3.03,0.65,2.07
