日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300472,4.73,4.68,4.81,4.59,174750,81595786.0,4.69,-0.21,-0.01,7.11
2025-08-04,300472,4.68,4.68,4.7,4.53,169308,78271611.0,3.63,0.0,0.0,6.89
2025-08-05,300472,4.7,4.7,4.85,4.66,158415,74843574.0,4.06,0.43,0.02,6.44
2025-08-06,300472,4.72,5.64,5.64,4.63,500416,253965080.0,21.49,20.0,0.94,20.36
2025-08-07,300472,5.67,5.71,6.15,5.56,535125,313504283.0,10.46,1.24,0.07,21.77
2025-08-08,300472,5.61,5.9,6.2,5.61,276192,164032212.4,10.33,3.33,0.19,11.23
