日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300321,28.54,28.52,28.73,28.26,11888,33849035.0,1.65,0.0,0.0,1.34
2025-08-04,300321,28.49,29.75,30.69,28.23,32775,97602929.0,8.63,4.31,1.23,3.7
2025-08-05,300321,29.7,30.1,30.21,29.45,20376,60821091.0,2.55,1.18,0.35,2.3
2025-08-06,300321,30.6,31.06,31.25,30.07,42175,129672530.0,3.92,3.19,0.96,4.76
2025-08-07,300321,30.99,31.16,31.8,30.8,27850,87098470.0,3.22,0.32,0.1,3.14
2025-08-08,300321,31.25,31.77,31.8,30.8,14503,45379239.88,3.21,1.96,0.61,1.64
