日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300990,57.67,57.02,59.47,56.17,54445,313961521.0,5.73,-1.06,-0.61,7.0
2025-08-04,300990,56.16,58.3,59.01,56.16,48633,280242539.0,5.0,2.24,1.28,6.26
2025-08-05,300990,58.01,62.1,62.5,57.51,73871,445897160.0,8.56,6.52,3.8,9.5
2025-08-06,300990,61.4,62.29,67.6,61.16,87020,551510518.0,10.37,0.31,0.19,11.2
2025-08-07,300990,62.62,60.75,63.5,59.68,72036,440676336.0,6.13,-2.47,-1.54,9.27
2025-08-08,300990,60.11,63.25,63.67,60.0,46170,284716311.95,6.04,4.12,2.5,5.94
