日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300684,30.51,30.15,31.88,30.0,312177,963324867.0,6.26,0.47,0.14,15.36
2025-08-04,300684,30.13,29.92,31.24,29.78,261262,793913473.0,4.84,-0.76,-0.23,12.85
2025-08-05,300684,30.01,30.15,31.18,29.55,285733,863495413.0,5.45,0.77,0.23,14.06
2025-08-06,300684,30.08,31.48,32.8,30.08,394246,1255500947.0,9.02,4.41,1.33,19.4
2025-08-07,300684,31.98,30.35,32.19,30.12,349764,1085610795.0,6.58,-3.59,-1.13,17.21
2025-08-08,300684,30.19,30.84,31.12,29.81,156654,478073843.0,4.32,1.61,0.49,7.71
