日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300315,5.51,5.51,5.55,5.4,943653,515293787.0,2.72,-0.18,-0.01,3.65
2025-08-04,300315,5.46,5.5,5.54,5.42,737300,404454653.0,2.18,-0.18,-0.01,2.85
2025-08-05,300315,5.5,5.5,5.57,5.48,868730,479621752.0,1.64,0.0,0.0,3.36
2025-08-06,300315,5.69,5.87,6.05,5.66,3888027,2291592535.0,7.09,6.73,0.37,15.05
2025-08-07,300315,5.77,5.79,5.87,5.68,2271574,1302984907.0,3.24,-1.36,-0.08,8.79
2025-08-08,300315,5.77,6.04,6.15,5.66,2267391,1331667275.71,8.46,4.32,0.25,8.78
