日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301273,26.66,27.5,27.63,26.49,18762,51179890.0,4.26,2.73,0.73,5.42
2025-08-04,301273,27.43,27.81,27.98,26.91,12231,33845778.0,3.89,1.13,0.31,3.53
2025-08-05,301273,27.85,28.14,28.76,27.83,14142,39935394.0,3.34,1.19,0.33,4.08
2025-08-06,301273,28.2,28.24,28.42,27.75,13557,38066254.0,2.38,0.36,0.1,3.92
2025-08-07,301273,28.3,28.35,28.67,27.87,17842,50496801.0,2.83,0.39,0.11,5.15
2025-08-08,301273,28.35,28.75,29.28,28.0,13770,39553120.0,4.51,1.41,0.4,3.98
