日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300201,5.38,5.4,5.44,5.37,154336,83481039.0,1.3,0.37,0.02,1.54
2025-08-04,300201,5.38,5.49,5.5,5.36,211757,115591712.0,2.59,1.67,0.09,2.11
2025-08-05,300201,5.51,5.56,5.63,5.51,264419,147456988.0,2.19,1.28,0.07,2.63
2025-08-06,300201,5.61,5.66,5.67,5.56,333696,188133065.0,1.98,1.8,0.1,3.32
2025-08-07,300201,5.67,5.62,5.67,5.57,266815,149847820.0,1.77,-0.71,-0.04,2.65
2025-08-08,300201,5.6,5.7,5.72,5.59,209495,118723667.78,2.31,1.42,0.08,2.08
