日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301367,86.37,85.8,86.7,85.2,7843,67262956.0,1.74,-0.75,-0.65,1.39
2025-08-04,301367,85.36,87.51,87.65,84.85,9623,83477555.0,3.26,1.99,1.71,1.7
2025-08-05,301367,87.78,88.87,90.17,86.71,13615,120564250.0,3.95,1.55,1.36,2.41
2025-08-06,301367,88.22,87.34,89.39,85.76,14598,127266217.0,4.08,-1.72,-1.53,2.58
2025-08-07,301367,86.75,86.68,89.15,86.13,12224,106587908.0,3.46,-0.76,-0.66,2.16
2025-08-08,301367,86.7,92.01,92.98,85.78,22967,205266383.3,8.31,6.15,5.33,4.06
