日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300696,24.5,25.1,25.61,23.1,340198,838202575.0,10.48,4.85,1.16,20.17
2025-08-04,300696,25.01,30.12,30.12,25.0,358439,1048254437.0,20.4,20.0,5.02,21.25
2025-08-05,300696,31.48,32.17,35.01,31.0,726013,2333688560.0,13.31,6.81,2.05,43.03
2025-08-06,300696,30.63,32.82,34.65,30.63,591339,1959518000.0,12.5,2.02,0.65,35.05
2025-08-07,300696,32.14,31.36,32.43,30.18,411239,1284481208.0,6.86,-4.45,-1.46,24.38
2025-08-08,300696,31.76,32.21,33.5,31.31,260748,848570171.95,6.98,2.71,0.85,15.46
