日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301038,29.6,31.55,33.28,29.21,267880,849379867.0,13.3,3.1,0.95,12.01
2025-08-04,301038,31.25,30.35,33.25,30.0,262874,837403218.0,10.3,-3.8,-1.2,11.78
2025-08-05,301038,30.09,32.26,32.36,29.0,267122,826869341.0,11.07,6.29,1.91,11.97
2025-08-06,301038,31.01,29.11,31.09,27.96,273075,810144217.0,9.7,-9.76,-3.15,12.24
2025-08-07,301038,28.56,29.15,29.99,28.2,178118,520826696.0,6.15,0.14,0.04,7.98
2025-08-08,301038,28.88,32.32,32.94,28.82,235147,723795937.07,14.13,10.87,3.17,10.54
