日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301130,34.15,33.76,35.37,33.42,47410,162236972.0,5.89,2.02,0.67,8.09
2025-08-04,301130,33.8,33.88,34.02,32.34,38443,127805433.0,4.98,0.36,0.12,6.56
2025-08-05,301130,34.3,33.95,35.06,33.52,24603,83877072.0,4.55,0.21,0.07,4.2
2025-08-06,301130,34.09,33.79,34.44,33.33,21694,73198017.0,3.27,-0.47,-0.16,3.7
2025-08-07,301130,33.77,33.4,33.99,33.03,16169,54116368.0,2.84,-1.15,-0.39,2.76
2025-08-08,301130,33.55,34.13,34.68,33.34,20573,70041155.0,4.01,2.19,0.73,3.51
