日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300395,83.63,81.68,84.2,80.88,196958,1613428590.0,3.93,-3.22,-2.72,3.84
2025-08-04,300395,80.53,77.39,81.5,75.7,367889,2866148504.0,7.1,-5.25,-4.29,7.17
2025-08-05,300395,78.03,77.95,80.26,76.92,198953,1558886707.0,4.32,0.72,0.56,3.88
2025-08-06,300395,77.52,76.5,79.58,75.65,173930,1338447332.0,5.04,-1.86,-1.45,3.39
2025-08-07,300395,76.48,75.92,78.5,75.08,182656,1392112259.0,4.47,-0.76,-0.58,3.56
2025-08-08,300395,75.23,77.67,78.91,75.01,107878,831082974.94,5.14,2.31,1.75,2.1
