日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300409,17.05,16.8,17.17,16.69,489207,827841782.0,2.81,-1.64,-0.28,7.12
2025-08-04,300409,16.6,17.44,17.45,16.52,476731,812797427.0,5.54,3.81,0.64,6.93
2025-08-05,300409,17.58,17.65,17.91,17.45,464398,820761864.0,2.64,1.2,0.21,6.75
2025-08-06,300409,17.6,18.4,18.46,17.5,669545,1210430023.0,5.44,4.25,0.75,9.74
2025-08-07,300409,18.31,18.29,18.8,18.15,584867,1076077211.0,3.53,-0.6,-0.11,8.51
2025-08-08,300409,18.38,18.66,18.75,18.2,466972,861623053.03,3.01,2.02,0.37,6.79
