日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300304,9.45,9.5,9.6,9.4,145043,137685918.0,2.09,-0.73,-0.07,1.7
2025-08-04,300304,9.41,9.65,9.66,9.38,154213,146962846.0,2.95,1.58,0.15,1.8
2025-08-05,300304,9.61,9.82,9.82,9.53,170513,165357056.0,3.01,1.76,0.17,1.99
2025-08-06,300304,9.81,9.78,9.92,9.66,187801,183608609.0,2.65,-0.41,-0.04,2.2
2025-08-07,300304,9.81,10.35,10.4,9.81,481656,490637084.0,6.03,5.83,0.57,5.63
2025-08-08,300304,10.31,11.26,11.28,10.25,403177,437403376.2,9.95,8.79,0.91,4.71
