日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301300,38.5,39.76,39.96,38.5,22678,89469637.0,3.78,3.06,1.18,7.33
2025-08-04,301300,39.65,40.56,40.58,38.9,24727,99094065.0,4.23,2.01,0.8,8.0
2025-08-05,301300,40.49,40.35,40.63,39.87,19625,78945482.0,1.87,-0.52,-0.21,6.35
2025-08-06,301300,40.9,41.16,41.46,40.24,26447,108154570.0,3.02,2.01,0.81,8.55
2025-08-07,301300,41.19,41.23,43.15,40.9,41440,173623362.0,5.47,0.17,0.07,13.4
2025-08-08,301300,41.03,42.11,42.58,41.03,20519,85824715.28,3.76,2.13,0.88,6.64
