日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300662,35.91,33.52,36.0,33.34,113798,388778119.0,7.43,-6.39,-2.29,5.8
2025-08-04,300662,33.0,33.3,33.9,32.8,77208,257013268.0,3.28,-0.66,-0.22,3.93
2025-08-05,300662,33.3,32.99,34.16,32.54,62305,205995056.0,4.86,-0.93,-0.31,3.17
2025-08-06,300662,32.9,32.85,33.18,32.54,52366,171640280.0,1.94,-0.42,-0.14,2.67
2025-08-07,300662,32.95,32.99,33.96,32.85,52737,175414111.0,3.38,0.43,0.14,2.69
2025-08-08,300662,33.32,33.9,35.5,32.99,93630,322853203.91,7.61,2.76,0.91,4.77
