日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300373,53.55,54.22,54.74,53.2,109576,593254746.0,2.88,1.29,0.69,2.02
2025-08-04,300373,54.1,54.72,55.1,53.9,90537,494393155.0,2.21,0.92,0.5,1.67
2025-08-05,300373,54.8,56.21,56.56,54.46,138127,770841283.0,3.84,2.72,1.49,2.55
2025-08-06,300373,56.01,56.68,56.88,55.79,105091,591933442.0,1.94,0.84,0.47,1.94
2025-08-07,300373,56.91,56.14,57.23,55.9,138589,782148736.0,2.35,-0.95,-0.54,2.56
2025-08-08,300373,55.66,57.98,58.27,55.37,120546,690154543.79,5.17,3.28,1.84,2.22
