日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300617,34.27,34.22,34.48,34.06,42765,146522970.0,1.22,-0.2,-0.07,3.04
2025-08-04,300617,33.93,34.26,34.4,33.92,48550,166055622.0,1.4,0.12,0.04,3.45
2025-08-05,300617,34.5,34.78,35.05,34.27,76910,267260647.0,2.28,1.52,0.52,5.47
2025-08-06,300617,34.78,34.52,34.8,34.31,52231,179964969.0,1.41,-0.75,-0.26,3.72
2025-08-07,300617,34.52,33.9,34.59,33.8,59035,200709356.0,2.29,-1.8,-0.62,4.2
2025-08-08,300617,34.1,34.72,34.72,33.87,35113,120457800.0,2.51,2.42,0.82,2.5
