日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300633,32.11,31.8,32.64,31.5,44292,141333473.0,3.56,-0.81,-0.26,1.02
2025-08-04,300633,31.85,32.56,32.85,31.27,48519,154929551.0,4.97,2.39,0.76,1.12
2025-08-05,300633,32.49,32.69,32.9,32.1,44225,143830710.0,2.46,0.4,0.13,1.02
2025-08-06,300633,33.07,32.32,33.2,32.1,46826,151999970.0,3.36,-1.13,-0.37,1.08
2025-08-07,300633,32.71,32.53,34.4,32.35,117976,393016096.0,6.34,0.65,0.21,2.73
2025-08-08,300633,32.5,33.02,33.69,32.0,56557,185951896.2,5.2,1.51,0.49,1.31
