日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301258,34.95,35.18,35.85,34.93,31959,112969741.0,2.62,0.03,0.01,9.44
2025-08-04,301258,34.78,35.65,35.66,34.41,33488,117529633.0,3.55,1.34,0.47,9.89
2025-08-05,301258,35.64,35.96,36.07,35.33,28199,100832369.0,2.08,0.87,0.31,8.33
2025-08-06,301258,35.81,35.46,36.48,35.36,28219,100465799.0,3.11,-1.39,-0.5,8.33
2025-08-07,301258,35.43,36.33,36.68,35.26,50681,182789252.0,4.0,2.45,0.87,14.96
2025-08-08,301258,35.98,37.83,38.5,35.46,49702,183935690.9,8.37,4.13,1.5,14.67
