日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300827,22.8,23.25,23.59,22.76,180664,421432996.0,3.64,1.93,0.44,4.71
2025-08-04,300827,23.09,22.92,23.09,22.67,113670,259450811.0,1.81,-1.42,-0.33,2.97
2025-08-05,300827,22.92,23.3,23.32,22.86,109719,252974442.0,2.01,1.66,0.38,2.86
2025-08-06,300827,23.18,23.55,24.18,23.05,161535,381764676.0,4.85,1.07,0.25,4.21
2025-08-07,300827,23.52,23.14,23.7,22.98,125183,290075378.0,3.06,-1.74,-0.41,3.27
2025-08-08,300827,23.08,23.67,24.0,23.04,154524,366612610.25,4.15,2.29,0.53,4.03
