日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300941,26.38,26.05,26.78,25.73,63187,164736164.0,3.97,-1.44,-0.38,5.31
2025-08-04,300941,26.05,26.34,26.36,25.7,34436,90176084.0,2.53,1.11,0.29,2.9
2025-08-05,300941,26.34,26.77,26.87,26.26,63559,168862340.0,2.32,1.63,0.43,5.35
2025-08-06,300941,26.7,26.88,26.94,26.54,44401,119071942.0,1.49,0.41,0.11,3.73
2025-08-07,300941,26.71,27.41,27.46,26.63,69444,187582194.0,3.09,1.97,0.53,5.84
2025-08-08,300941,27.8,28.42,28.9,27.5,133841,376954510.49,5.11,3.68,1.01,11.26
