日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301031,84.21,83.3,84.21,81.99,16474,137153751.0,2.64,-1.06,-0.89,2.39
2025-08-04,301031,82.42,86.14,86.48,82.05,19166,161828493.0,5.32,3.41,2.84,2.79
2025-08-05,301031,86.1,86.54,87.2,85.35,15449,133416407.0,2.15,0.46,0.4,2.24
2025-08-06,301031,86.4,85.9,86.97,85.5,10911,93905891.0,1.7,-0.74,-0.64,1.59
2025-08-07,301031,86.42,84.94,86.92,84.47,11887,101447531.0,2.85,-1.12,-0.96,1.73
2025-08-08,301031,84.67,86.24,86.86,84.4,10374,88745236.4,2.9,1.53,1.3,1.51
