日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301658,32.27,32.93,33.45,32.16,50839,167696959.0,3.99,1.95,0.63,13.13
2025-08-04,301658,32.56,32.93,32.93,32.23,29549,96420031.0,2.13,0.0,0.0,7.63
2025-08-05,301658,33.55,33.25,33.57,32.92,36424,120766480.0,1.97,0.97,0.32,9.41
2025-08-06,301658,33.04,33.41,33.52,32.93,34781,115696995.0,1.77,0.48,0.16,8.98
2025-08-07,301658,33.35,33.17,33.45,32.84,28756,95181743.0,1.83,-0.72,-0.24,7.43
2025-08-08,301658,33.17,34.02,34.96,32.93,69968,239535254.96,6.12,2.56,0.85,18.07
