日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300772,12.59,12.77,12.91,12.55,135988,173583693.0,2.84,0.79,0.1,1.95
2025-08-04,300772,12.79,13.09,13.11,12.66,195669,254314187.0,3.52,2.51,0.32,2.8
2025-08-05,300772,13.09,13.28,13.4,12.96,222888,294368572.0,3.36,1.45,0.19,3.19
2025-08-06,300772,13.25,13.06,13.3,12.96,186922,243941825.0,2.56,-1.66,-0.22,2.68
2025-08-07,300772,13.03,12.89,13.1,12.82,136506,176276809.0,2.14,-1.3,-0.17,1.96
2025-08-08,300772,12.89,14.16,14.58,12.88,498081,695054653.9,13.19,9.85,1.27,7.14
