日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300866,123.92,123.55,127.99,120.67,51647,638675375.0,5.9,-0.42,-0.52,1.72
2025-08-04,300866,123.04,125.0,126.5,122.5,28496,355694851.0,3.24,1.17,1.45,0.95
2025-08-05,300866,125.16,124.23,125.8,123.62,21362,266442739.0,1.74,-0.62,-0.77,0.71
2025-08-06,300866,124.23,131.43,131.48,123.11,50757,654560534.0,6.74,5.8,7.2,1.69
2025-08-07,300866,131.29,129.6,131.8,129.15,29200,379688413.0,2.02,-1.39,-1.83,0.97
2025-08-08,300866,130.28,135.74,136.64,127.48,44160,587477430.65,7.07,4.74,6.14,1.46
