日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300584,35.36,34.39,36.77,34.21,137349,487814287.0,7.18,-3.56,-1.27,16.73
2025-08-04,300584,34.98,41.27,41.27,34.56,285296,1100530307.0,19.51,20.01,6.88,34.74
2025-08-05,300584,42.53,42.9,45.3,41.75,294766,1277777235.0,8.6,3.95,1.63,35.9
2025-08-06,300584,43.0,44.72,45.35,42.44,218194,949746838.0,6.78,4.24,1.82,26.57
2025-08-07,300584,44.99,47.95,51.61,44.97,251073,1211330555.0,14.85,7.22,3.23,30.58
2025-08-08,300584,46.0,48.71,49.97,45.1,146516,693088872.5,10.16,1.58,0.76,17.84
