日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300724,61.01,66.19,66.19,61.01,483676,3168948437.0,9.39,20.0,11.03,16.84
2025-08-04,300724,67.0,69.0,70.88,65.88,577890,3952143341.0,7.55,4.25,2.81,20.13
2025-08-05,300724,69.67,67.93,70.0,66.66,302526,2048776871.0,4.84,-1.55,-1.07,10.54
2025-08-06,300724,67.34,66.8,67.87,65.96,260546,1735597493.0,2.81,-1.66,-1.13,9.07
2025-08-07,300724,66.8,65.55,66.92,64.81,203057,1332602794.0,3.16,-1.87,-1.25,7.07
2025-08-08,300724,65.3,66.44,67.3,65.1,172362,1146258239.16,3.36,1.36,0.89,6.0
