日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301083,15.97,16.58,16.68,15.88,94229,153206452.0,5.0,3.56,0.57,11.01
2025-08-04,301083,16.37,16.85,16.95,16.27,75569,126848391.0,4.1,1.63,0.27,8.83
2025-08-05,301083,16.86,17.41,17.48,16.74,88036,151753950.0,4.39,3.32,0.56,10.28
2025-08-06,301083,17.27,17.19,17.41,17.17,60785,104826159.0,1.38,-1.26,-0.22,7.1
2025-08-07,301083,17.2,17.01,17.25,16.91,41887,71348318.0,1.98,-1.05,-0.18,4.89
2025-08-08,301083,16.98,17.71,18.06,16.92,68738,120144906.34,6.7,4.12,0.7,8.03
