日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300648,43.15,43.43,45.3,42.39,92027,406603492.0,6.75,0.77,0.33,8.67
2025-08-04,300648,43.4,49.9,50.17,42.85,150762,712507411.0,16.85,14.9,6.47,14.2
2025-08-05,300648,49.5,50.93,51.03,47.8,107597,533116093.0,6.47,2.06,1.03,10.13
2025-08-06,300648,50.9,54.9,55.06,49.63,117422,618803362.0,10.66,7.8,3.97,11.06
2025-08-07,300648,53.99,54.82,56.49,52.88,101213,553407557.0,6.58,-0.15,-0.08,9.53
2025-08-08,300648,54.3,56.24,56.98,53.57,72100,399585578.43,6.22,2.59,1.42,6.79
