日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300436,110.0,102.3,115.13,101.0,194954,2112892219.0,12.34,-10.66,-12.2,14.26
2025-08-04,300436,101.65,120.9,122.06,98.82,189458,2072922076.0,22.72,18.18,18.6,13.86
2025-08-05,300436,119.5,123.55,124.5,113.0,163459,1954944385.0,9.51,2.19,2.65,11.96
2025-08-06,300436,118.9,115.45,124.66,114.9,130050,1548826614.0,7.9,-6.56,-8.1,9.51
2025-08-07,300436,115.0,116.53,128.11,115.0,170636,2057108499.0,11.36,0.94,1.08,12.48
2025-08-08,300436,116.0,120.49,124.4,109.13,102889,1215178230.42,13.1,3.4,3.96,7.53
