日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301603,54.69,56.89,58.88,54.3,61581,348805794.0,8.43,4.71,2.56,16.32
2025-08-04,301603,58.02,59.0,59.7,57.3,43433,255257389.0,4.22,3.71,2.11,11.51
2025-08-05,301603,58.52,59.02,60.0,58.4,39634,235041742.0,2.71,0.03,0.02,10.5
2025-08-06,301603,59.08,60.74,61.39,59.08,41831,253042215.0,3.91,2.91,1.72,11.09
2025-08-07,301603,60.1,59.01,60.14,58.73,34716,205870448.0,2.32,-2.85,-1.73,9.2
2025-08-08,301603,58.51,60.01,60.12,58.33,16467,96960901.52,3.03,1.69,1.0,4.36
