日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301018,46.59,44.6,47.01,43.9,117917,532256668.0,6.69,-4.13,-1.92,5.93
2025-08-04,301018,44.0,45.8,46.09,43.78,86923,391887866.0,5.18,2.69,1.2,4.37
2025-08-05,301018,45.66,46.27,47.5,45.39,94233,437488518.0,4.61,1.03,0.47,4.74
2025-08-06,301018,46.72,47.48,51.28,46.27,148277,716376333.0,10.83,2.62,1.21,7.45
2025-08-07,301018,46.83,45.31,47.1,44.3,147186,671187698.0,5.9,-4.57,-2.17,7.4
2025-08-08,301018,45.14,47.88,48.21,44.94,130137,612942553.54,7.22,5.67,2.57,6.54
