日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301515,22.0,22.75,22.98,21.85,36985,83275246.0,5.14,3.41,0.75,5.81
2025-08-04,301515,22.75,22.64,22.92,22.25,26485,59768931.0,2.95,-0.48,-0.11,4.16
2025-08-05,301515,22.68,22.96,22.96,22.43,26502,60273408.0,2.34,1.41,0.32,4.16
2025-08-06,301515,22.99,22.68,23.0,22.58,21208,48137670.0,1.83,-1.22,-0.28,3.33
2025-08-07,301515,22.59,23.22,23.73,22.59,38480,88723546.0,5.03,2.38,0.54,6.04
2025-08-08,301515,23.6,23.67,24.13,23.05,60455,143672763.85,4.65,1.94,0.45,9.49
