日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300816,31.53,31.9,32.0,31.4,14159,44928490.0,1.91,1.56,0.49,3.11
2025-08-04,300816,31.8,33.0,33.19,31.6,30277,99352174.0,4.98,3.45,1.1,6.64
2025-08-05,300816,33.0,33.25,33.32,32.85,18822,62439752.0,1.42,0.76,0.25,4.13
2025-08-06,300816,33.36,33.4,33.58,32.97,17114,57001609.0,1.83,0.45,0.15,3.75
2025-08-07,300816,33.5,33.48,33.8,33.2,21028,70481553.0,1.8,0.24,0.08,4.61
2025-08-08,300816,33.48,34.08,34.29,33.25,15894,53678306.0,3.11,1.79,0.6,3.49
