日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300872,24.65,23.84,24.84,23.55,475369,1142629954.0,5.19,-4.1,-1.02,11.26
2025-08-04,300872,23.4,24.0,24.03,23.1,301876,711503464.0,3.9,0.67,0.16,7.15
2025-08-05,300872,23.85,24.11,24.42,23.5,354911,850430043.0,3.83,0.46,0.11,8.41
2025-08-06,300872,23.88,24.25,24.34,23.62,385673,925075376.0,2.99,0.58,0.14,9.14
2025-08-07,300872,24.45,24.87,25.5,24.31,552226,1385562099.0,4.91,2.56,0.62,13.08
2025-08-08,300872,24.6,25.3,25.78,23.9,354966,883146848.87,7.56,1.73,0.43,8.41
