日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300455,14.15,14.1,14.3,13.86,112184,157935281.0,3.12,-0.14,-0.02,1.58
2025-08-04,300455,13.98,14.62,14.65,13.92,208573,301972904.0,5.18,3.69,0.52,2.94
2025-08-05,300455,14.65,17.03,17.54,14.62,1024584,1737657164.0,19.97,16.48,2.41,14.46
2025-08-06,300455,16.0,16.65,16.95,16.0,764118,1268718282.0,5.58,-2.23,-0.38,10.78
2025-08-07,300455,16.58,17.85,19.06,16.3,823913,1448688531.0,16.58,7.21,1.2,11.63
2025-08-08,300455,18.03,20.65,21.42,18.0,1058946,2164389201.49,19.16,15.69,2.8,14.94
