日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300551,11.0,11.08,11.09,10.81,169947,185794368.0,2.55,0.73,0.08,5.01
2025-08-04,300551,11.0,11.1,11.1,10.83,105843,116049338.0,2.44,0.18,0.02,3.12
2025-08-05,300551,11.11,11.19,11.19,11.01,119255,132595627.0,1.62,0.81,0.09,3.52
2025-08-06,300551,11.19,11.33,11.38,11.08,162800,183422159.0,2.68,1.25,0.14,4.8
2025-08-07,300551,11.35,11.33,11.43,11.2,175217,198486091.0,2.03,0.0,0.0,5.17
2025-08-08,300551,11.35,11.72,12.09,11.1,284090,330546761.18,8.74,3.44,0.39,8.38
