日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300867,17.43,17.35,17.48,17.28,40838,70790445.0,1.15,0.0,0.0,2.13
2025-08-04,300867,17.3,17.41,17.45,17.15,30390,52742773.0,1.73,0.35,0.06,1.59
2025-08-05,300867,17.46,17.8,17.88,17.39,73011,129464551.0,2.81,2.24,0.39,3.81
2025-08-06,300867,17.72,17.79,17.88,17.66,47759,84971672.0,1.24,-0.06,-0.01,2.49
2025-08-07,300867,17.83,18.09,18.12,17.71,84832,152308899.0,2.3,1.69,0.3,4.43
2025-08-08,300867,18.1,18.34,18.58,17.98,66047,120972872.31,3.32,1.38,0.25,3.45
