日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300435,15.5,15.92,16.2,15.4,147027,234352545.0,5.16,2.64,0.41,3.99
2025-08-04,300435,15.89,16.77,16.9,15.8,202161,333451611.0,6.91,5.34,0.85,5.48
2025-08-05,300435,16.75,16.61,16.87,16.49,109120,181030550.0,2.27,-0.95,-0.16,2.96
2025-08-06,300435,16.5,16.7,16.85,16.45,87222,145233071.0,2.41,0.54,0.09,2.36
2025-08-07,300435,16.6,16.66,16.82,16.47,83920,139593194.0,2.1,-0.24,-0.04,2.28
2025-08-08,300435,16.64,17.0,17.13,16.61,81198,137109728.48,3.12,2.04,0.34,2.2
