日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300511,6.29,6.35,6.35,6.27,91376,57730988.0,1.28,1.44,0.09,1.77
2025-08-04,300511,6.34,6.41,6.52,6.21,152550,96843635.0,4.88,0.94,0.06,2.95
2025-08-05,300511,6.41,6.41,6.48,6.37,106975,68570234.0,1.72,0.0,0.0,2.07
2025-08-06,300511,6.38,6.38,6.45,6.33,117737,75132110.0,1.87,-0.47,-0.03,2.28
2025-08-07,300511,6.38,6.58,6.59,6.35,319415,208369331.0,3.76,3.13,0.2,6.18
2025-08-08,300511,6.53,6.73,6.74,6.53,161423,107016643.02,3.19,2.28,0.15,3.12
