日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,301108,25.74,25.92,26.15,25.62,18856,48778117.0,2.02,-1.14,-0.3,2.92
2025-08-04,301108,25.97,26.31,26.37,25.51,16660,43518312.0,3.32,1.5,0.39,2.58
2025-08-05,301108,27.66,26.59,27.66,26.4,22952,61292081.0,4.79,1.06,0.28,3.55
2025-08-06,301108,26.67,26.48,27.18,26.15,18319,48391593.0,3.87,-0.41,-0.11,2.83
2025-08-07,301108,26.37,26.61,26.98,26.15,21667,57648395.0,3.13,0.49,0.13,3.35
2025-08-08,301108,26.6,27.18,27.33,26.31,21286,56959526.96,3.83,2.14,0.57,3.29
