日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300961,18.61,18.08,18.64,18.07,130132,237188127.0,3.03,-3.93,-0.74,8.57
2025-08-04,300961,18.09,18.25,18.37,17.62,84747,152993521.0,4.15,0.94,0.17,5.58
2025-08-05,300961,18.24,18.85,18.85,18.18,140645,261508403.0,3.67,3.29,0.6,9.26
2025-08-06,300961,18.7,19.16,19.8,18.57,198619,380130526.0,6.53,1.64,0.31,13.08
2025-08-07,300961,19.32,18.66,19.32,18.64,130242,244734999.0,3.55,-2.61,-0.5,8.57
2025-08-08,300961,18.66,18.95,19.27,18.61,71428,135311119.4,3.54,1.55,0.29,4.7
