日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300989,17.1,16.99,17.1,16.67,40259,67922911.0,2.55,0.83,0.14,2.67
2025-08-04,300989,16.83,16.8,17.03,16.4,44447,74607273.0,3.71,-1.12,-0.19,2.95
2025-08-05,300989,16.8,16.81,17.09,16.78,45038,76094640.0,1.85,0.06,0.01,2.99
2025-08-06,300989,16.9,16.87,17.02,16.64,45252,76249305.0,2.26,0.36,0.06,3.0
2025-08-07,300989,16.84,16.94,17.09,16.8,40773,69092876.0,1.72,0.41,0.07,2.71
2025-08-08,300989,16.9,17.27,17.35,16.8,49377,84458298.5,3.25,1.95,0.33,3.28
