日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2025-08-01,300274,72.03,75.3,75.38,71.88,564926,4200899507.0,4.86,4.58,3.3,3.55
2025-08-04,300274,74.27,73.78,74.46,72.6,340957,2497398311.0,2.47,-2.02,-1.52,2.14
2025-08-05,300274,73.57,75.41,76.2,72.69,386697,2901611428.0,4.76,2.21,1.63,2.43
2025-08-06,300274,75.0,76.9,77.22,74.96,406342,3102073000.0,3.0,1.98,1.49,2.56
2025-08-07,300274,76.8,74.81,76.89,74.47,393196,2954515507.0,3.15,-2.72,-2.09,2.47
2025-08-08,300274,74.52,79.49,80.75,74.5,587907,4631742834.47,8.35,6.26,4.68,3.7
